outer_fold,selector,position,feature,feature_count
3,Stable_Minority_Only,1,arp.opcode,14
3,Stable_Minority_Only,2,http.request.method,14
3,Stable_Minority_Only,3,http.request.version,14
3,Stable_Minority_Only,4,icmp.checksum,14
3,Stable_Minority_Only,5,icmp.seq_le,14
3,Stable_Minority_Only,6,icmp.transmit_timestamp,14
3,Stable_Minority_Only,7,tcp.ack,14
3,Stable_Minority_Only,8,tcp.connection.syn,14
3,Stable_Minority_Only,9,tcp.dstport,14
3,Stable_Minority_Only,10,tcp.flags,14
3,Stable_Minority_Only,11,tcp.len,14
3,Stable_Minority_Only,12,tcp.srcport,14
3,Stable_Minority_Only,13,udp.port,14
3,Stable_Minority_Only,14,udp.time_delta,14
3,CS_SHAP_Union,1,arp.opcode,20
3,CS_SHAP_Union,2,http.referer,20
3,CS_SHAP_Union,3,http.request.method,20
3,CS_SHAP_Union,4,http.request.version,20
3,CS_SHAP_Union,5,icmp.checksum,20
3,CS_SHAP_Union,6,icmp.seq_le,20
3,CS_SHAP_Union,7,icmp.transmit_timestamp,20
3,CS_SHAP_Union,8,mqtt.conack.flags,20
3,CS_SHAP_Union,9,tcp.ack,20
3,CS_SHAP_Union,10,tcp.ack_raw,20
3,CS_SHAP_Union,11,tcp.connection.rst,20
3,CS_SHAP_Union,12,tcp.connection.syn,20
3,CS_SHAP_Union,13,tcp.dstport,20
3,CS_SHAP_Union,14,tcp.flags,20
3,CS_SHAP_Union,15,tcp.len,20
3,CS_SHAP_Union,16,tcp.seq,20
3,CS_SHAP_Union,17,tcp.srcport,20
3,CS_SHAP_Union,18,udp.port,20
3,CS_SHAP_Union,19,udp.stream,20
3,CS_SHAP_Union,20,udp.time_delta,20
3,Mutual_Information_19,1,tcp.dstport,19
3,Mutual_Information_19,2,tcp.srcport,19
3,Mutual_Information_19,3,tcp.ack,19
3,Mutual_Information_19,4,tcp.seq,19
3,Mutual_Information_19,5,tcp.ack_raw,19
3,Mutual_Information_19,6,tcp.flags,19
3,Mutual_Information_19,7,http.request.version,19
3,Mutual_Information_19,8,http.request.method,19
3,Mutual_Information_19,9,tcp.len,19
3,Mutual_Information_19,10,http.referer,19
3,Mutual_Information_19,11,tcp.checksum,19
3,Mutual_Information_19,12,mqtt.protoname,19
3,Mutual_Information_19,13,mqtt.topic,19
3,Mutual_Information_19,14,mqtt.conack.flags,19
3,Mutual_Information_19,15,icmp.checksum,19
3,Mutual_Information_19,16,udp.stream,19
3,Mutual_Information_19,17,tcp.flags.ack,19
3,Mutual_Information_19,18,icmp.seq_le,19
3,Mutual_Information_19,19,http.content_length,19
3,Random_Forest_Importance_19,1,tcp.srcport,19
3,Random_Forest_Importance_19,2,tcp.ack,19
3,Random_Forest_Importance_19,3,tcp.dstport,19
3,Random_Forest_Importance_19,4,http.referer,19
3,Random_Forest_Importance_19,5,tcp.len,19
3,Random_Forest_Importance_19,6,tcp.seq,19
3,Random_Forest_Importance_19,7,icmp.seq_le,19
3,Random_Forest_Importance_19,8,http.request.version,19
3,Random_Forest_Importance_19,9,udp.stream,19
3,Random_Forest_Importance_19,10,http.request.method,19
3,Random_Forest_Importance_19,11,tcp.ack_raw,19
3,Random_Forest_Importance_19,12,tcp.flags,19
3,Random_Forest_Importance_19,13,mqtt.topic,19
3,Random_Forest_Importance_19,14,tcp.checksum,19
3,Random_Forest_Importance_19,15,icmp.checksum,19
3,Random_Forest_Importance_19,16,mqtt.protoname,19
3,Random_Forest_Importance_19,17,mqtt.conack.flags,19
3,Random_Forest_Importance_19,18,udp.port,19
3,Random_Forest_Importance_19,19,http.content_length,19
4,Full_42,1,arp.opcode,42
4,Full_42,2,arp.hw.size,42
4,Full_42,3,icmp.checksum,42
4,Full_42,4,icmp.seq_le,42
4,Full_42,5,icmp.transmit_timestamp,42
4,Full_42,6,http.content_length,42
4,Full_42,7,http.request.method,42
4,Full_42,8,http.referer,42
4,Full_42,9,http.request.version,42
4,Full_42,10,http.response,42
4,Full_42,11,tcp.ack,42
4,Full_42,12,tcp.ack_raw,42
4,Full_42,13,tcp.checksum,42
4,Full_42,14,tcp.connection.fin,42
4,Full_42,15,tcp.connection.rst,42
4,Full_42,16,tcp.connection.syn,42
4,Full_42,17,tcp.connection.synack,42
4,Full_42,18,tcp.dstport,42
4,Full_42,19,tcp.flags,42
4,Full_42,20,tcp.flags.ack,42
4,Full_42,21,tcp.len,42
4,Full_42,22,tcp.seq,42
4,Full_42,23,tcp.srcport,42
4,Full_42,24,udp.port,42
4,Full_42,25,udp.stream,42
4,Full_42,26,udp.time_delta,42
4,Full_42,27,dns.qry.name,42
4,Full_42,28,dns.qry.name.len,42
4,Full_42,29,dns.qry.qu,42
4,Full_42,30,dns.retransmission,42
4,Full_42,31,dns.retransmit_request,42
4,Full_42,32,mqtt.conack.flags,42
4,Full_42,33,mqtt.conflag.cleansess,42
4,Full_42,34,mqtt.conflags,42
4,Full_42,35,mqtt.hdrflags,42
4,Full_42,36,mqtt.len,42
4,Full_42,37,mqtt.msgtype,42
