selector,rank,feature,importance,outer_fold
Mutual_Information_19,39,dns.qry.name.len,0.006208852449451019,4
Mutual_Information_19,40,icmp.transmit_timestamp,0.004859618162238455,4
Mutual_Information_19,41,dns.retransmit_request,0.0023796859089677547,4
Mutual_Information_19,42,dns.retransmission,0.0002656744255009613,4
Random_Forest_Importance_19,1,tcp.srcport,0.11596353198154999,4
Random_Forest_Importance_19,2,tcp.ack,0.1043591532715307,4
Random_Forest_Importance_19,3,tcp.dstport,0.09860441546889281,4
Random_Forest_Importance_19,4,http.referer,0.07576612753167992,4
Random_Forest_Importance_19,5,tcp.len,0.07261914480864229,4
Random_Forest_Importance_19,6,tcp.seq,0.06409292724334138,4
Random_Forest_Importance_19,7,icmp.seq_le,0.05795002219747472,4
Random_Forest_Importance_19,8,udp.stream,0.046670706368744035,4
Random_Forest_Importance_19,9,http.request.version,0.043084138538435277,4
Random_Forest_Importance_19,10,http.request.method,0.03944358015727581,4
Random_Forest_Importance_19,11,tcp.ack_raw,0.03713386494127434,4
Random_Forest_Importance_19,12,tcp.flags,0.03338010630421204,4
Random_Forest_Importance_19,13,icmp.checksum,0.025770136209911372,4
Random_Forest_Importance_19,14,tcp.checksum,0.025550700663698665,4
Random_Forest_Importance_19,15,mqtt.topic,0.025262190704040385,4
Random_Forest_Importance_19,16,mqtt.protoname,0.024630766914752546,4
Random_Forest_Importance_19,17,mqtt.conack.flags,0.018054872632605867,4
Random_Forest_Importance_19,18,udp.port,0.017465402175701347,4
Random_Forest_Importance_19,19,tcp.connection.rst,0.013567738191832454,4
Random_Forest_Importance_19,20,http.content_length,0.013287926737543662,4
Random_Forest_Importance_19,21,udp.time_delta,0.012246927628266534,4
Random_Forest_Importance_19,22,tcp.flags.ack,0.007799701437102042,4
Random_Forest_Importance_19,23,tcp.connection.syn,0.007112783076288801,4
Random_Forest_Importance_19,24,http.response,0.0034298523535627092,4
Random_Forest_Importance_19,25,dns.qry.name,0.0024527610345269294,4
Random_Forest_Importance_19,26,arp.hw.size,0.0019750284243390016,4
Random_Forest_Importance_19,27,dns.qry.name.len,0.0019197271978524492,4
Random_Forest_Importance_19,28,icmp.transmit_timestamp,0.001753810037341098,4
Random_Forest_Importance_19,29,arp.opcode,0.0016299667049536448,4
Random_Forest_Importance_19,30,tcp.connection.fin,0.0015627951307030303,4
Random_Forest_Importance_19,31,dns.qry.qu,0.0013611983823962077,4
Random_Forest_Importance_19,32,tcp.connection.synack,0.0012811482992118133,4
Random_Forest_Importance_19,33,mqtt.msgtype,0.000744408871228542,4
Random_Forest_Importance_19,34,mqtt.len,0.0007109454628483091,4
Random_Forest_Importance_19,35,mqtt.hdrflags,0.000687643813151573,4
Random_Forest_Importance_19,36,mqtt.ver,0.00019003090471669235,4
Random_Forest_Importance_19,37,mqtt.topic_len,0.00016795565383883148,4
