outer_fold,selector,rank,feature,importance
5,Mutual_Information_Matched,15,dns_qtype,0.1911385437846107
5,Mutual_Information_Matched,16,dns_RD,0.18855904324583372
5,Mutual_Information_Matched,17,dns_AA,0.17501859373003237
5,Mutual_Information_Matched,18,dns_qclass,0.17221165353884293
5,Mutual_Information_Matched,19,dns_rcode,0.05275958827392335
5,Mutual_Information_Matched,20,missed_bytes,0.025058069799261506
5,Mutual_Information_Matched,21,ssl_cipher,0.00837396054751105
5,Mutual_Information_Matched,22,ssl_resumed,0.008119241152207302
5,Mutual_Information_Matched,23,ssl_established,0.007982962618865663
5,Mutual_Information_Matched,24,http_version,0.007267373817747114
5,Mutual_Information_Matched,25,ssl_version,0.007040899359096908
5,Mutual_Information_Matched,26,weird_name,0.005826358840185453
5,Mutual_Information_Matched,27,http_response_body_len,0.005627783822335974
5,Mutual_Information_Matched,28,weird_notice,0.00545650463679781
5,Mutual_Information_Matched,29,http_method,0.005111670864073048
5,Mutual_Information_Matched,30,http_trans_depth,0.004338804821901299
5,Mutual_Information_Matched,31,http_orig_mime_types,0.0035002633388776516
5,Mutual_Information_Matched,32,http_status_code,0.002285293404238775
5,Mutual_Information_Matched,33,http_request_body_len,0.0011037755280121075
5,Mutual_Information_Matched,34,http_resp_mime_types,0.000689753463705145
5,Random_Forest_Importance_Matched,1,src_ip_bytes,0.1702199334332125
5,Random_Forest_Importance_Matched,2,dst_port,0.11076316031595582
5,Random_Forest_Importance_Matched,3,src_port,0.10577972084580718
5,Random_Forest_Importance_Matched,4,duration,0.09820510345223682
5,Random_Forest_Importance_Matched,5,conn_state,0.09766809857062457
5,Random_Forest_Importance_Matched,6,dst_ip_bytes,0.07700563337385995
5,Random_Forest_Importance_Matched,7,src_bytes,0.06885761819038136
5,Random_Forest_Importance_Matched,8,src_pkts,0.06193906032404048
5,Random_Forest_Importance_Matched,9,dst_pkts,0.05412836793714082
5,Random_Forest_Importance_Matched,10,dst_bytes,0.0432644123362226
5,Random_Forest_Importance_Matched,11,service,0.02869462158501466
5,Random_Forest_Importance_Matched,12,dns_rejected,0.01749958256495914
5,Random_Forest_Importance_Matched,13,proto,0.016625537172592013
5,Random_Forest_Importance_Matched,14,dns_RA,0.01317932619875534
5,Random_Forest_Importance_Matched,15,dns_RD,0.00897762436763874
5,Random_Forest_Importance_Matched,16,dns_AA,0.007683381350357409
5,Random_Forest_Importance_Matched,17,dns_qtype,0.006611425287666684
5,Random_Forest_Importance_Matched,18,dns_qclass,0.00459575925388488
5,Random_Forest_Importance_Matched,19,dns_rcode,0.004369638459465656
5,Random_Forest_Importance_Matched,20,missed_bytes,0.0018454069355906258
5,Random_Forest_Importance_Matched,21,ssl_cipher,0.0003379079112168158
5,Random_Forest_Importance_Matched,22,ssl_established,0.0003332320319368172
