fold,method,feature,importance,rank
4,Class_Balanced,http.content_length,0.039296117,21
4,Class_Balanced,http.referer,0.7479478,4
4,Class_Balanced,http.request.method,0.3889493,8
4,Class_Balanced,http.request.version,0.33470926,10
4,Class_Balanced,http.response,0.0010280812,31
4,Class_Balanced,icmp.checksum,0.29981676,11
4,Class_Balanced,icmp.seq_le,0.34258407,9
4,Class_Balanced,icmp.transmit_timestamp,0.0078123314,27
4,Class_Balanced,mqtt.conack.flags,0.4089614,7
4,Class_Balanced,mqtt.conflag.cleansess,0.0,34
4,Class_Balanced,mqtt.conflags,0.00024896284,33
4,Class_Balanced,mqtt.hdrflags,0.00040977728,32
4,Class_Balanced,mqtt.len,0.0,34
4,Class_Balanced,mqtt.msgtype,0.0,34
4,Class_Balanced,mqtt.proto_len,0.0,34
4,Class_Balanced,mqtt.protoname,0.102426074,15
4,Class_Balanced,mqtt.topic,0.014659825,24
4,Class_Balanced,mqtt.topic_len,0.0,34
4,Class_Balanced,mqtt.ver,0.0,34
4,Class_Balanced,tcp.ack,0.89319813,3
4,Class_Balanced,tcp.ack_raw,0.17206025,14
4,Class_Balanced,tcp.checksum,0.10218473,16
4,Class_Balanced,tcp.connection.fin,0.026265657,23
4,Class_Balanced,tcp.connection.rst,0.10193583,17
4,Class_Balanced,tcp.connection.syn,0.09837392,18
4,Class_Balanced,tcp.connection.synack,0.011429158,26
4,Class_Balanced,tcp.dstport,0.9000518,2
4,Class_Balanced,tcp.flags,0.22903985,13
4,Class_Balanced,tcp.flags.ack,0.004743736,29
4,Class_Balanced,tcp.len,0.7447695,5
4,Class_Balanced,tcp.seq,0.26711622,12
4,Class_Balanced,tcp.srcport,0.91494054,1
4,Class_Balanced,udp.port,0.047460567,20
4,Class_Balanced,udp.stream,0.42573252,6
4,Class_Balanced,udp.time_delta,0.012983554,25
4,Minority_Diagnostic,arp.hw.size,0.0064531737,21
4,Minority_Diagnostic,arp.opcode,0.049028106,12
4,Minority_Diagnostic,dns.qry.name,0.0015351775,23
4,Minority_Diagnostic,dns.qry.name.len,0.01899833,19
4,Minority_Diagnostic,dns.qry.qu,0.0,26
4,Minority_Diagnostic,dns.retransmission,0.0,26
4,Minority_Diagnostic,dns.retransmit_request,0.0,26
4,Minority_Diagnostic,http.content_length,0.0,26
4,Minority_Diagnostic,http.referer,0.008217621,20
4,Minority_Diagnostic,http.request.method,0.22958219,9
4,Minority_Diagnostic,http.request.version,0.37143928,6
4,Minority_Diagnostic,http.response,0.0,26
4,Minority_Diagnostic,icmp.checksum,0.56707275,4
4,Minority_Diagnostic,icmp.seq_le,0.4040525,5
4,Minority_Diagnostic,icmp.transmit_timestamp,0.057697408,11
4,Minority_Diagnostic,mqtt.conack.flags,0.004818801,22
4,Minority_Diagnostic,mqtt.conflag.cleansess,0.0,26
4,Minority_Diagnostic,mqtt.conflags,0.0,26
4,Minority_Diagnostic,mqtt.hdrflags,0.0,26
4,Minority_Diagnostic,mqtt.len,0.0,26
4,Minority_Diagnostic,mqtt.msgtype,0.0,26
4,Minority_Diagnostic,mqtt.proto_len,0.0,26
4,Minority_Diagnostic,mqtt.protoname,0.0005206549,25
4,Minority_Diagnostic,mqtt.topic,0.0,26
4,Minority_Diagnostic,mqtt.topic_len,0.0,26
4,Minority_Diagnostic,mqtt.ver,0.0,26
4,Minority_Diagnostic,tcp.ack,0.029521143,15
4,Minority_Diagnostic,tcp.ack_raw,0.035341583,14
4,Minority_Diagnostic,tcp.checksum,0.01932436,18
4,Minority_Diagnostic,tcp.connection.fin,0.0,26
4,Minority_Diagnostic,tcp.connection.rst,0.021159556,17
4,Minority_Diagnostic,tcp.connection.syn,0.046197437,13
4,Minority_Diagnostic,tcp.connection.synack,0.0,26
4,Minority_Diagnostic,tcp.dstport,0.6878394,3
4,Minority_Diagnostic,tcp.flags,0.27170584,8
4,Minority_Diagnostic,tcp.flags.ack,0.00054170715,24
4,Minority_Diagnostic,tcp.len,3.9773886,1
4,Minority_Diagnostic,tcp.seq,0.0,26
4,Minority_Diagnostic,tcp.srcport,1.5409154,2
4,Minority_Diagnostic,udp.port,0.3557323,7
4,Minority_Diagnostic,udp.stream,0.022416359,16
4,Minority_Diagnostic,udp.time_delta,0.09736332,10
5,Natural_Global,arp.hw.size,0.0071051894,25
5,Natural_Global,arp.opcode,0.040291816,19
5,Natural_Global,dns.qry.name,0.02793248,20
5,Natural_Global,dns.qry.name.len,0.0,31
5,Natural_Global,dns.qry.qu,0.0,31
5,Natural_Global,dns.retransmission,0.0,31
5,Natural_Global,dns.retransmit_request,0.0,31
5,Natural_Global,http.content_length,0.022143949,21
5,Natural_Global,http.referer,1.1555419,1
5,Natural_Global,http.request.method,0.75406903,3
5,Natural_Global,http.request.version,0.60053706,5
5,Natural_Global,http.response,0.00070106576,30
5,Natural_Global,icmp.checksum,0.36103436,8
5,Natural_Global,icmp.seq_le,0.17501119,10
5,Natural_Global,icmp.transmit_timestamp,0.0008276003,28
5,Natural_Global,mqtt.conack.flags,0.39119953,7
5,Natural_Global,mqtt.conflag.cleansess,0.0,31
5,Natural_Global,mqtt.conflags,0.0,31
5,Natural_Global,mqtt.hdrflags,0.0,31
