method,feature,importance,rank,outer_fold,inner_fold
Natural_Global,dns.retransmission,0.0,31,1,3
Natural_Global,dns.retransmit_request,0.0,31,1,3
Natural_Global,http.content_length,0.019685436,21,1,3
Natural_Global,http.referer,1.1306834,1,1,3
Natural_Global,http.request.method,0.7362851,3,1,3
Natural_Global,http.request.version,0.57098836,4,1,3
Natural_Global,http.response,0.00119018,28,1,3
Natural_Global,icmp.checksum,0.294737,9,1,3
Natural_Global,icmp.seq_le,0.2445764,10,1,3
Natural_Global,icmp.transmit_timestamp,0.0005086245,30,1,3
Natural_Global,mqtt.conack.flags,0.42124566,7,1,3
Natural_Global,mqtt.conflag.cleansess,0.0,31,1,3
Natural_Global,mqtt.conflags,0.0,31,1,3
Natural_Global,mqtt.hdrflags,0.0,31,1,3
Natural_Global,mqtt.len,0.0,31,1,3
Natural_Global,mqtt.msgtype,0.0,31,1,3
Natural_Global,mqtt.proto_len,0.0,31,1,3
Natural_Global,mqtt.protoname,0.10034355,16,1,3
Natural_Global,mqtt.topic,0.0051196343,25,1,3
Natural_Global,mqtt.topic_len,0.0,31,1,3
Natural_Global,mqtt.ver,0.0,31,1,3
Natural_Global,tcp.ack,0.47740704,6,1,3
Natural_Global,tcp.ack_raw,0.14162669,13,1,3
Natural_Global,tcp.checksum,0.11142138,15,1,3
Natural_Global,tcp.connection.fin,0.011850313,22,1,3
Natural_Global,tcp.connection.rst,0.048214052,17,1,3
Natural_Global,tcp.connection.syn,0.03894359,18,1,3
Natural_Global,tcp.connection.synack,0.008382434,23,1,3
Natural_Global,tcp.dstport,0.52110165,5,1,3
Natural_Global,tcp.flags,0.15965354,11,1,3
Natural_Global,tcp.flags.ack,0.004496582,26,1,3
Natural_Global,tcp.len,0.11520796,14,1,3
Natural_Global,tcp.seq,0.14898756,12,1,3
Natural_Global,tcp.srcport,0.87524897,2,1,3
Natural_Global,udp.port,0.001019212,29,1,3
Natural_Global,udp.stream,0.32781857,8,1,3
Natural_Global,udp.time_delta,0.0031365978,27,1,3
Class_Balanced,arp.hw.size,0.005611031,28,1,3
Class_Balanced,arp.opcode,0.021699589,24,1,3
Class_Balanced,dns.qry.name,0.046609405,21,1,3
Class_Balanced,dns.qry.name.len,0.0,31,1,3
Class_Balanced,dns.qry.qu,0.0,31,1,3
Class_Balanced,dns.retransmission,0.0,31,1,3
Class_Balanced,dns.retransmit_request,0.0,31,1,3
Class_Balanced,http.content_length,0.06518086,20,1,3
Class_Balanced,http.referer,0.7324812,4,1,3
Class_Balanced,http.request.method,0.38187417,9,1,3
Class_Balanced,http.request.version,0.3337084,10,1,3
Class_Balanced,http.response,0.0012628478,30,1,3
Class_Balanced,icmp.checksum,0.2140597,13,1,3
Class_Balanced,icmp.seq_le,0.40800604,8,1,3
Class_Balanced,icmp.transmit_timestamp,0.011003587,25,1,3
Class_Balanced,mqtt.conack.flags,0.42118907,7,1,3
Class_Balanced,mqtt.conflag.cleansess,0.0,31,1,3
Class_Balanced,mqtt.conflags,0.0,31,1,3
Class_Balanced,mqtt.hdrflags,0.0,31,1,3
Class_Balanced,mqtt.len,0.0,31,1,3
Class_Balanced,mqtt.msgtype,0.0,31,1,3
Class_Balanced,mqtt.proto_len,0.0,31,1,3
Class_Balanced,mqtt.protoname,0.101728275,18,1,3
Class_Balanced,mqtt.topic,0.0037977037,29,1,3
Class_Balanced,mqtt.topic_len,0.0,31,1,3
Class_Balanced,mqtt.ver,0.0,31,1,3
Class_Balanced,tcp.ack,0.85709363,3,1,3
Class_Balanced,tcp.ack_raw,0.18313795,14,1,3
Class_Balanced,tcp.checksum,0.13473065,15,1,3
